1	chrI	4118	10606
2	chrI	11495	16837
3	chrI	17483	26783
4	chrI	17483	26783
5	chrI	17483	26783
6	chrI	96459	108223
7	chrI	310980	314989
8	chrI	379069	381912
9	chrI	377186	388566
10	chrI	461989	462652
11	chrI	488605	489905
12	chrI	489969	496158
13	chrI	511044	519646
14	chrI	511044	519646
15	chrI	535791	536587
16	chrI	537116	542204
17	chrI	550696	556679
18	chrI	803366	835293
19	chrI	872756	882713
20	chrI	872756	882713
21	chrI	872756	882713
22	chrI	979650	992183
23	chrI	1015196	1015741
24	chrI	1016403	1019526
25	chrI	1019825	1029910
26	chrI	1050665	1053826
27	chrI	1053888	1066905
28	chrI	1068484	1076389
29	chrI	1223948	1229322
30	chrI	1223948	1229322
31	chrI	1335321	1337016
32	chrI	1416582	1425201
33	chrI	1446497	1465358
34	chrI	1835780	1835872
35	chrI	1835631	1841965
36	chrI	1845200	1850523
37	chrI	1874008	1884196
38	chrI	1895161	1923240
39	chrI	1911679	1913965
40	chrI	1895161	1923240
41	chrI	1950594	1958527
42	chrI	2034322	2064001
43	chrI	2072677	2076926
44	chrI	2078955	2085680
45	chrI	2097344	2123443
46	chrI	2250131	2254908
47	chrI	2281503	2291205
48	chrI	2318291	2321847
49	chrI	2382953	2401498
50	chrI	2402230	2409996
51	chrI	2418436	2420801
52	chrI	2580935	2587110
53	chrI	2580935	2587110
54	chrI	2587527	2595294
55	chrI	2668160	2672437
56	chrI	2668160	2672437
57	chrI	2686639	2689493
58	chrI	2686639	2689493
59	chrI	2706178	2717547
60	chrI	2759023	2761044
61	chrI	2791681	2794976
62	chrI	2798175	2800878
63	chrI	2845859	2849792
64	chrI	2875395	2876308
65	chrI	2931461	2947152
66	chrI	2996401	3001382
67	chrI	3031338	3032938
68	chrI	3034716	3047794
69	chrI	3217296	3222955
70	chrI	3233385	3256159
71	chrI	3233385	3256159
72	chrI	3267092	3269111
73	chrI	3301368	3307935
74	chrI	3318830	3330673
75	chrI	3340212	3349912
76	chrI	3516450	3523401
77	chrI	3533885	3539580
78	chrI	3637351	3638819
79	chrI	3680172	3681872
80	chrI	3680172	3681872
81	chrI	3680172	3681872
82	chrI	3710879	3713199
83	chrI	3713118	3721859
84	chrI	3713118	3721859
85	chrI	3713118	3721859
86	chrI	3821917	3826514
87	chrI	3830872	3834124
88	chrI	3834115	3837807
89	chrI	3871469	3873428
90	chrI	4035702	4090889
91	chrI	4139514	4142366
